"module name","licenses","repository","licenseUrl","parents"
"browserify-aes@1.0.6","MIT","https://github.com/crypto-browserify/browserify-aes","https://github.com/crypto-browserify/browserify-aes/raw/master/LICENSE","zoonavigator-web"
"browserify-cipher@1.0.0","MIT","https://github.com/crypto-browserify/browserify-cipher","https://github.com/crypto-browserify/browserify-cipher","zoonavigator-web"
"browserify-des@1.0.0","MIT","https://github.com/crypto-browserify/browserify-des","https://github.com/crypto-browserify/browserify-des","zoonavigator-web"
"browserify-rsa@4.0.1","MIT","https://github.com/crypto-browserify/browserify-rsa","https://github.com/crypto-browserify/browserify-rsa/raw/master/LICENSE","zoonavigator-web"
"browserify-sign@4.0.4","ISC","https://github.com/crypto-browserify/browserify-sign","https://github.com/crypto-browserify/browserify-sign/raw/master/LICENSE","zoonavigator-web"
"browserify-zlib@0.1.4","MIT","https://github.com/devongovett/browserify-zlib","https://github.com/devongovett/browserify-zlib","zoonavigator-web"
"browserslist@1.7.7","MIT","https://github.com/ai/browserslist","https://github.com/ai/browserslist/raw/master/LICENSE","zoonavigator-web"
"buffer-shims@1.0.0","MIT","https://github.com/calvinmetcalf/buffer-shims","https://github.com/calvinmetcalf/buffer-shims/raw/master/license.md","zoonavigator-web"
"buffer-xor@1.0.3","MIT","https://github.com/crypto-browserify/buffer-xor","https://github.com/crypto-browserify/buffer-xor/raw/master/LICENSE","zoonavigator-web"
"buffer@4.9.1","MIT","https://github.com/feross/buffer","https://github.com/feross/buffer/raw/master/LICENSE","zoonavigator-web"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules","https://github.com/sindresorhus/builtin-modules/raw/master/license","zoonavigator-web"
"builtin-status-codes@3.0.0","MIT","https://github.com/bendrucker/builtin-status-codes","https://github.com/bendrucker/builtin-status-codes/raw/master/license","zoonavigator-web"
"bytes@2.3.0","MIT","https://github.com/visionmedia/bytes.js","https://github.com/visionmedia/bytes.js/raw/master/LICENSE","zoonavigator-web"
"bytes@2.4.0","MIT","https://github.com/visionmedia/bytes.js","https://github.com/visionmedia/bytes.js/raw/master/LICENSE","body-parser:zoonavigator-web"
"callsite@1.0.0","UNKNOWN","","","zoonavigator-web"
"camel-case@3.0.0","MIT","https://github.com/blakeembrey/camel-case","https://github.com/blakeembrey/camel-case/raw/master/LICENSE","zoonavigator-web"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys","https://github.com/sindresorhus/camelcase-keys/raw/master/license","zoonavigator-web"
